uid,response_no,unix_time,response
user4,24,1610512940844,"{""phase"": ""TEST"", ""expr"": ""E062_CW"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 8223}"
user4,25,1610512952337,"{""phase"": ""TEST"", ""expr"": ""E006_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 1, ""rt"": 11491}"
user4,26,1610512958283,"{""phase"": ""TEST"", ""expr"": ""E037_real"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5944}"
user4,27,1610512973053,"{""phase"": ""TEST"", ""expr"": ""E044_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 14768}"
user4,28,1610512980863,"{""phase"": ""TEST"", ""expr"": ""E099_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 7809}"
user4,29,1610512989713,"{""phase"": ""TEST"", ""expr"": ""E011_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 8848}"
user4,30,1610512996239,"{""phase"": ""TEST"", ""expr"": ""E095_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6524}"
user4,31,1610513009439,"{""phase"": ""TEST"", ""expr"": ""E083_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 13198}"
user4,32,1610513015663,"{""phase"": ""TEST"", ""expr"": ""E059_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6223}"
user4,33,1610513022423,"{""phase"": ""TEST"", ""expr"": ""E078_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6758}"
user4,34,1610513028583,"{""phase"": ""TEST"", ""expr"": ""E055_real"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6159}"
user5,2,1610512728579,"{""phase"": ""TEST"", ""expr"": ""E017_real"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5075}"
user5,3,1610512777140,"{""phase"": ""TEST"", ""expr"": ""E083_real"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 48557}"
user5,4,1610512783115,"{""phase"": ""TEST"", ""expr"": ""E054_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 5973}"
user5,5,1610512796769,"{""phase"": ""TEST"", ""expr"": ""E087_CW"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 13651}"
user5,6,1610512806952,"{""phase"": ""TEST"", ""expr"": ""E008_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 10178}"
