uid,response_no,unix_time,response
user3,23,1611026468486,"{""phase"": ""TEST"", ""expr"": ""E078_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 4382}"
user3,24,1611026473834,"{""phase"": ""TEST"", ""expr"": ""E013_CW"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 5348}"
user3,25,1611026481212,"{""phase"": ""TEST"", ""expr"": ""E094_CW"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 7374}"
user3,26,1611026484879,"{""phase"": ""TEST"", ""expr"": ""E037_real"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 3663}"
user3,27,1611026489833,"{""phase"": ""TEST"", ""expr"": ""E045_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 4950}"
user3,28,1611026494534,"{""phase"": ""TEST"", ""expr"": ""E024_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 4699}"
user3,29,1611026499714,"{""phase"": ""TEST"", ""expr"": ""E086_real"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 5176}"
user3,30,1611026531352,"{""phase"": ""TEST"", ""expr"": ""E081_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 31635}"
user3,31,1611026535093,"{""phase"": ""TEST"", ""expr"": ""E040_CW"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 3737}"
user3,32,1611026540423,"{""phase"": ""TEST"", ""expr"": ""E032_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 5324}"
user3,33,1611026544972,"{""phase"": ""TEST"", ""expr"": ""E073_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 4535}"
user3,34,1611026550791,"{""phase"": ""TEST"", ""expr"": ""E017_CW"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 5816}"
user4,2,1611027026117,"{""phase"": ""TEST"", ""expr"": ""E009_CW"", ""c1_confidence"": 3, ""c2_confidence"": 4, ""rt"": 7342}"
user4,3,1611027033420,"{""phase"": ""TEST"", ""expr"": ""E073_real"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 7296}"
user4,4,1611027038899,"{""phase"": ""TEST"", ""expr"": ""E059_real"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5477}"
user4,5,1611027043493,"{""phase"": ""TEST"", ""expr"": ""E034_CW"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 4592}"
user4,6,1611027047539,"{""phase"": ""TEST"", ""expr"": ""E045_CW"", ""c1_confidence"": 3, ""c2_confidence"": 3, ""rt"": 4044}"
user4,7,1611027053364,"{""phase"": ""TEST"", ""expr"": ""E036_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 5823}"
user4,8,1611027060263,"{""phase"": ""TEST"", ""expr"": ""E022_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 6897}"
user4,9,1611027066984,"{""phase"": ""TEST"", ""expr"": ""E027_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 6715}"
user4,10,1611027072859,"{""phase"": ""TEST"", ""expr"": ""E037_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 5872}"
user4,11,1611027078458,"{""phase"": ""TEST"", ""expr"": ""E065_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 5598}"
user4,12,1611027083843,"{""phase"": ""TEST"", ""expr"": ""E019_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5383}"
user4,13,1611027088164,"{""phase"": ""TEST"", ""expr"": ""E050_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4320}"
user4,14,1611027091631,"{""phase"": ""TEST"", ""expr"": ""E038_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 3465}"
user4,15,1611027095170,"{""phase"": ""TEST"", ""expr"": ""E082_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 3536}"
user4,16,1611027098731,"{""phase"": ""TEST"", ""expr"": ""E094_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 3559}"
user4,17,1611027103793,"{""phase"": ""TEST"", ""expr"": ""E020_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 5061}"
user4,18,1611027109650,"{""phase"": ""TEST"", ""expr"": ""E057_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 5854}"
user4,19,1611027116562,"{""phase"": ""TEST"", ""expr"": ""E081_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 6910}"
user4,20,1611027122554,"{""phase"": ""TEST"", ""expr"": ""E015_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 5990}"
